Job,Year,Amount,Major
"Professional, Scientific & Management, and Administrative & Waste Management Services",2014,306801,Communications
"Educational Services, Health Care & Social Assistance",2014,403132,Communications
"Arts, Entertainment & Recreation and Accommodation & Food Services",2014,126502,Communications
"Other Services, Except Public Administration",2014,80287,Communications
Public Administration,2014,86160,Communications
Active Duty Military,2014,5550,Communications
"Agriculture, Forestry, Fishing and Hunting, and Mining",2020,10109,Computer and Information Sciences and Support Services
Construction,2020,31908,Computer and Information Sciences and Support Services
Manufacturing,2020,198462,Computer and Information Sciences and Support Services
Wholesale Trade,2020,40148,Computer and Information Sciences and Support Services
Retail Trade,2020,121973,Computer and Information Sciences and Support Services
"Transportation & Warehousing, and Utilities",2020,72304,Computer and Information Sciences and Support Services
Information,2020,134845,Computer and Information Sciences and Support Services
